Instance,FCFS,SJF,SJF-P,RR
0,29.699122810396894,11.309648281366881,40.70558699628091,41.34060848459575
1,41.248636148165765,8.822453953557632,34.04008934676572,43.19856091679141
2,41.9583137615297,8.331518481320593,41.74804545790874,16.373578351517715
3,39.544570021732966,4.738398455179081,35.00271269300541,24.381683516939933
4,38.641169603155845,6.863049491954044,37.7306348439072,32.00736671720399
5,42.18419397163187,7.634583867168762,45.67696523694133,68.11418025668851
6,34.72654600363618,6.2522846114560595,31.11832840122253,11.767827911484977
7,37.19695732989687,10.036131813183827,34.31984680411053,45.445481219628064
8,44.300592808971835,7.206841973787175,66.40360409129485,25.66313398571679
9,32.916158089919705,5.580211277188361,42.53399485453713,43.066364578714584
10,34.65779255531221,5.081153216261095,39.78408345653678,46.60147637129079
11,33.841701658876616,5.84805282060139,34.797156575826065,9.876303529602193
12,41.710456330766114,5.987957864097909,40.65259596727319,31.517260725560252
13,33.80236131181198,6.549500837777032,58.260659241601346,13.378496247012826
14,42.036193447712265,5.359994548921964,36.47486962110938,38.713129173177975
15,40.52185947428621,7.177513237407463,32.17740227468483,19.628919182730243
16,43.43276001887777,5.87354488693304,39.381030841929864,17.455497277665238
17,33.136048907376114,6.274675740696805,45.35643352228513,24.550960900732832
18,39.600292707555354,5.490864540850142,50.719059144547515,33.795049905628055
19,40.08482092297029,7.377959357740683,49.52330083217181,83.11892813684615
20,40.67520999923033,6.7437232618130265,34.259486978887324,24.780068831846876
21,37.727361641030676,7.899120941256967,39.30761876266773,24.944765381153267
22,34.639863872440856,5.800852174019367,36.38574788560563,48.879513617080924
23,34.90573114219839,5.28994632595317,43.3560938609744,35.43344425025958
24,34.8771450715893,5.784564842309225,48.94636660572479,88.0
25,44.11005587320439,10.177195068680557,52.3671123006052,46.8470660433124
26,39.259236141292206,6.287607403011997,48.82652106690456,88.60510687337333
27,50.02561329708994,7.063445688623935,45.05845389800376,47.383389879368245
28,32.454057045621234,7.694432244174658,37.83904546383464,14.994126373218954
29,41.09809107776358,5.241145985439428,29.78003320173461,16.966186801328426
30,40.13154519306116,7.567736134155733,38.743659157911004,27.11787586612516
31,38.56612658111,8.07128502343951,34.36401154994688,27.90102470532229
32,31.783015020030575,5.424211864599174,33.14371026890945,31.979533201275505
33,34.683118453093314,7.7077805443345415,47.13034716130627,27.276841791843314
34,39.55991943235683,9.201721732825222,41.390555095217096,19.461537589957544
35,30.882816849793738,7.705528159493221,30.99841362992851,22.144845348808033
36,47.33543880587584,5.32287484382721,42.786664631572556,0
37,36.02504949441065,7.762690335743731,31.791938241179558,30.687594014855186
38,29.113834094148174,7.687378637061215,24.616302380581775,24.905422927989633
39,41.60005171202495,4.48314572696709,28.413642164633885,41.79480386015584
40,40.282960663537004,5.598493517767057,33.72831843346902,12.400239578261996
41,33.023278181746015,7.023611866971206,43.26448934378536,31.1738764194043
42,33.821141170063584,3.5688189873164835,28.586996661975398,11.017761214709743
43,36.97879572830276,5.299399696465567,41.001472562461935,30.315763883628556
44,40.26681687683394,5.229604957535965,41.945061247837735,43.87539964920089
45,37.53957124395288,8.323000633633265,42.16671146505978,43.37784060595139
46,37.30049517999996,4.987561600266523,42.98929967983264,25.265996943780205
47,34.963687359636914,5.969455391003204,53.064578700016376,16.271316399995605
48,28.032315560653913,6.333594327767305,30.929837154654166,15.658357707513256
49,38.46599973268062,7.265332795550191,42.09882633945996,22.772266345617158
50,40.31384018157208,7.568140143299575,50.609010574760305,21.776936050265356
51,36.577598915124604,4.512348749460212,33.497090204220804,29.295681320256648
52,39.97408267334044,6.072624590074847,56.58329351531114,40.64593098738896
53,37.54201070251504,8.817368456705692,27.757559428566182,47.320036001752214
54,41.258109707391284,8.628055686716293,31.90551808096997,15.536237252866272
55,41.34197921575899,6.061288494669775,45.17226255784184,30.40863987906857
56,36.29945089760185,6.633500036223802,32.057917736546685,37.674785927483306
57,47.24601467288738,8.665825912327792,29.333984419028656,17.665206287541732
58,34.30092163424324,5.822224614804018,54.48998919387297,20.113706881235778
59,35.53314511683507,5.664527432428427,42.52414703877168,22.62954044974881
60,29.861405395902146,7.830128697556212,35.310844730974935,27.92790566640795
61,40.838442774777576,6.621606779023916,36.515179694113364,33.273554668467455
62,32.41639563579745,10.884819706461714,42.775951442151296,47.55979800084623
63,35.68006261207433,9.140822771758625,54.009196933093,43.0276900542044
64,28.697404931762296,10.744304858838893,43.838124545264925,9.056608701256947
65,41.29780955295583,11.993579618859846,37.01865955554093,41.95308430858945
66,23.111972149511526,9.444158289188232,37.432500549612534,11.672885416892441
67,26.95412376573447,5.840058964788154,45.297394718143174,17.401805823405486
68,39.52312075724729,12.254016102085854,51.34825840735076,18.24252918311184
69,32.68582125668966,8.7594228092733,35.32894120874016,26.19071604540488
70,41.20807988496376,6.852719504044403,31.030491619265362,45.35002147613764
71,37.39779048015391,9.75808684555478,38.06039640723382,31.999893622677007
72,34.28472398610546,7.1038809926909,35.61147261075324,31.759588014635586
73,39.83188696305099,5.227896433527806,69.5820577739359,32.497888066053676
74,41.31550637796065,7.394896667060719,36.49494545443721,0
75,40.23476007127388,12.314478666642808,37.6008901290082,28.162844920260586
76,49.88468299206411,6.921556391418888,37.051257001259174,29.43184418832173
77,33.116490473898324,14.416155197949838,30.090386548404002,29.4644761072912
78,37.379607122419905,8.50190018909232,42.15657032434933,57.67260002722628
79,32.75252329711075,6.187495904052702,43.2557170461587,31.343914923558664
80,35.79189632467564,5.5972236560124164,34.55162933981424,26.491096616820407
81,34.97694976565905,6.065699478193532,51.416567632892516,37.90946407152688
82,38.095969259408065,5.966789659235976,42.4965833171802,16.942043489524057
83,36.217442977174684,6.6693127292674985,37.37949278521739,30.629809018548492
84,37.53054110696507,6.466663108452468,51.672981346077854,20.34263939652911
85,43.80842281476849,6.076283609006392,39.1280280315888,29.284499782499438
86,35.18597536516147,10.872319949826046,45.116996472298204,0
87,34.85682473150833,9.597303409175906,37.298384460848354,23.435539977707446
88,37.23755955216289,8.102048620404172,58.524397711724454,26.191856957191572
