Instance,FCFS,SJF,SJF-P,RR
58,19.41255601562395,14.439714784038117,0.0,19.061424049364085
59,0,15.861911613725626,0,19.982075149337547
60,0.0,36.2990327088382,0.0,19.243876617933662
61,41.45216493428819,23.94058796144058,34.00902780291402,16.94171057073272
62,26.823501639708798,10.716676535021184,38.21902841045011,23.480001477705667
63,29.438054572251723,10.22644350154079,30.294164466625023,23.85492893439016
64,0.0,40.852620867443754,0.0,34.7884984926725
65,0.0,0.0,40.1537408998768,27.78388466146127
66,0.0,51.018701711562734,29.662130957864377,29.445121795420516
67,19.515711785876302,12.175299823693866,0.0,34.025126630852014
68,14.3342249496922,8.153730443590751,40.65961222886897,20.46398169553099
69,0.0,25.28543661744558,73.28147125578974,20.17289821129439
70,30.934975838623927,21.58901516515242,42.35218619518913,36.06357082297205
71,28.777732325124838,15.249046807945774,25.95277752479382,20.253639862362245
72,0.0,18.821979502066732,25.731444303982848,19.46987438693107
73,17.04669023637761,14.146666675057249,0.0,31.71246919189057
74,56.86573851710611,0,28.353657539131184,20.75131789268284
75,15.525848768585607,32.344880733450694,0,24.467464903647297
76,0.0,13.849986150060618,40.93848860710153,30.06886213386697
77,44.97987647512184,0,25.673708023308578,35.500904696726415
78,5.866593588658312,9.885504510909605,0,18.38548273918505
79,0,9.618169771058943,43.2560961145217,19.50815382025024
80,0.0,22.326353086404033,25.641118211288884,27.38444979872822
81,38.94661870664901,23.47470896088197,26.94094449531298,29.031184024681625
82,15.952186391880993,29.789781299147958,35.27033548498883,27.801546097144932
83,32.09947409311093,16.73874621307482,0.0,31.957317048624695
84,0,46.96264037502642,47.82880099199726,17.916994725889168
85,0.0,24.901757136521134,39.17772898676539,26.675999083319823
86,0,14.143991064162456,22.706598583246095,21.90081826554979
87,0,29.11640672547747,0.0,23.800357582691042
88,15.993209861046838,14.880375225097447,27.80720143853189,31.212032034429924
89,19.827983336798493,52.08290720955356,0.0,26.15767978897365
90,0,7.828398215980682,42.309809111061575,16.539690892976086
91,45.54568965829683,44.9898801169734,27.922096159173382,22.57810815684637
92,0.0,7.239456058219847,63.92983676668966,24.180030213230907
93,42.24735286002767,16.275184324858717,0.0,26.064666813228175
94,0.0,12.78438561915549,0.0,15.97583860598749
95,0.0,11.982420288921276,46.29843191742303,24.53469164134153
96,0.0,0,0.0,29.980649685033814
97,0.0,6.331577465684242,0.0,29.939352341377255
98,0.0,17.192743508771457,28.728518377334424,15.804899005583295
99,0.0,8.059902923516333,34.98321778697173,25.503972937024216
100,15.318814720425129,9.373647874261732,0.0,25.884191616426428
101,0.0,21.194875277021776,63.31376793811515,14.064168622584242
102,0,0,54.08849010504506,24.26895291880993
103,18.749575687443077,11.467123286600978,0.0,27.63868981814369
104,7.705426005261553,7.574173160761802,57.85045140930968,14.68900771754331
105,23.839909421049704,19.45442747440483,25.29560033020568,32.14028000773873
106,0.0,16.50488677793351,39.93763186190974,22.214365683084605
107,1.809796503958374,10.259729452412252,27.951613718493043,22.308191335669882
108,0,36.12775696890977,27.00951972858392,26.999354208306688
109,21.47749462071762,0,43.377216615488855,30.403408978290685
110,5.704790391438753,10.33632971608129,30.812554635694656,23.513166738230193
111,0.0,11.913755291683154,0,23.59093141461185
112,0.0,19.944504748135788,0,23.95965133034565
113,0.0,51.35157965371833,22.364282863708226,24.131877322683614
114,38.70018987219309,14.87280231097552,35.638251431386266,26.12563865955732
115,29.096749141557442,0,32.72691847908432,17.3753065468271
116,35.1142893172715,14.284562310750589,0.0,25.911619897229325
117,0.0,38.92850020100813,77.78105914360812,15.694177461043939
118,14.392118603691998,29.519962667328887,0.0,21.709217285728137
119,28.069243701930517,10.320074958673612,50.98439529036976,26.860548752383107
120,0.0,21.936839559798337,35.38041003344829,18.552799565990767
121,15.693362901504674,24.907270671938587,24.096391666586804,28.52930607641368
122,17.126672687011006,22.331886032504645,36.955609627651256,37.12842913312928
123,62.2175448959231,22.84010111522882,52.51790650938709,16.873893719159852
124,0,18.428606588887245,33.99439540633272,23.200384352044967
125,0.0,33.883197852054614,0,24.741244253613903
126,14.14031597516954,0,44.7815101312961,24.02788133020024
127,0.0,24.05783082899454,27.331003818570178,12.730911908288366
128,37.539786784610975,0,0.0,25.93695005919979
129,0.0,28.24732039303348,0.0,20.61824188897674
130,0.0,0,31.70156281028775,29.934966724041697
131,35.9757484949651,7.643158323085508,33.141283739252046,24.661505634610478
132,0.0,31.945014508875207,48.64822949242755,24.83910275407046
133,0.0,17.36664649869053,23.720573144266943,26.70169932674884
134,60.953217246664074,34.2072341812013,0.0,25.824939180929192
135,26.334923497161817,23.06828904461019,0.0,26.718396156913894
136,34.18505191694546,0.0,32.05247077477517,30.377429822119552
137,0.0,32.21938317628972,59.318171091183835,20.15968428602192
